L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.635015,0.76149,0.772553,0.734514,0.998794,1.178366,1.195656,1.164578,0.547857,0.523716,0.564312,0.610543,0.445027,0.471766,0.436957,0.390633,0.189668,0.058138,0.055988,0.067803,0.073218,0.064385,0.063409,0.044794
0.636822,0.760039,0.77088,0.73291,0.995672,1.175269,1.192547,1.161471,0.547467,0.523639,0.564272,0.610353,0.445037,0.471832,0.437038,0.390643,0.193986,0.059401,0.05685,0.069623,0.073181,0.06426,0.06328,0.044785
0.6388,0.758686,0.769284,0.73138,0.992548,1.17217,1.189437,1.158362,0.547083,0.523559,0.564232,0.610145,0.445049,0.471892,0.437115,0.390648,0.198335,0.060755,0.057792,0.071533,0.073147,0.064142,0.063153,0.044779
0.640945,0.757439,0.767769,0.729927,0.989423,1.16907,1.186325,1.15525,0.546705,0.523477,0.564193,0.609919,0.445062,0.471944,0.437186,0.390648,0.202701,0.062195,0.058812,0.073524,0.073116,0.064029,0.06303,0.044773
0.643252,0.756306,0.766342,0.728558,0.986297,1.165966,1.18321,1.152135,0.546332,0.523395,0.564158,0.609673,0.445076,0.471989,0.437251,0.390642,0.207067,0.063711,0.059906,0.075589,0.073088,0.063923,0.06291,0.044769
0.645713,0.755296,0.765012,0.727279,0.98317,1.162861,1.180092,1.149017,0.545964,0.523315,0.564126,0.609409,0.445089,0.472025,0.437311,0.39063,0.211415,0.065295,0.061067,0.077717,0.073063,0.063824,0.062792,0.044765
0.648321,0.75442,0.763786,0.7261,0.980042,1.159753,1.176972,1.145895,0.545599,0.523239,0.564101,0.609127,0.445103,0.472054,0.437364,0.390613,0.215727,0.066936,0.062289,0.079895,0.073041,0.06373,0.062677,0.044761
0.651065,0.753691,0.762678,0.725031,0.976914,1.156642,1.173849,1.142771,0.545236,0.523167,0.564084,0.608829,0.445115,0.472076,0.43741,0.390591,0.219982,0.068623,0.063566,0.082112,0.073022,0.063641,0.062566,0.044756
0.653933,0.753124,0.7617,0.724085,0.973786,1.15353,1.170724,1.139644,0.544874,0.523103,0.564076,0.608516,0.445128,0.472091,0.437448,0.390565,0.224159,0.070343,0.06489,0.084354,0.073007,0.063558,0.062459,0.04475
0.656911,0.752735,0.760871,0.72328,0.970657,1.150415,1.167597,1.136515,0.544512,0.523047,0.56408,0.608192,0.44514,0.4721,0.437478,0.390536,0.228235,0.072086,0.066253,0.086608,0.072994,0.063479,0.062356,0.044742
0.659983,0.752543,0.760211,0.722634,0.967528,1.147297,1.16447,1.133383,0.544148,0.523,0.564096,0.607857,0.445152,0.472105,0.437501,0.390505,0.23219,0.073841,0.06765,0.08886,0.072984,0.063404,0.06226,0.044731
0.66313,0.75257,0.759746,0.72217,0.964398,1.144178,1.161343,1.130248,0.543781,0.522964,0.564126,0.607516,0.445165,0.472106,0.437518,0.390473,0.235999,0.075598,0.069075,0.091096,0.072977,0.063332,0.062169,0.044719
0.666332,0.75284,0.759507,0.721913,0.961269,1.141056,1.158215,1.127111,0.543408,0.52294,0.56417,0.607171,0.445178,0.472104,0.437528,0.39044,0.23964,0.077349,0.070523,0.093304,0.072973,0.063264,0.062083,0.044705
